code,iso,country,WASTE.1990,WASTE.1991,WASTE.1992,WASTE.1993,WASTE.1994,WASTE.1995,WASTE.1996,WASTE.1997,WASTE.1998,WASTE.1999,WASTE.2000,WASTE.2001,WASTE.2002,WASTE.2003,WASTE.2004,WASTE.2005,WASTE.2006,WASTE.2007,WASTE.2008,WASTE.2009,WASTE.2010,WASTE.2011,WASTE.2012,WASTE.2013,WASTE.2014
533,ABW,Aruba,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
4,AFG,Afghanistan,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0
24,AGO,Angola,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0
660,AIA,Anguilla,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
8,ALB,Albania,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.8,0.8,5.6,7.3,7.3,-9999,10,-9999,-9999,5.3
20,AND,Andorra,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.7,3.6,3.5,17.1,19.6,31.1,47.7,86.4,98,-9999,-9999,-9999,-9999,-9999,-9999,38.375
530,ANT,Netherlands Antilles,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
784,ARE,United Arab Emirates,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78.3,-9999,-9999,-9999,90.8,-9999,-9999,84.55
32,ARG,Argentina,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10,42.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6,-9999,-9999,19.5
51,ARM,Armenia,32.6,-9999,-9999,-9999,-9999,32.7,-9999,-9999,-9999,-9999,32.8,32.8,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,-9999,0,-9999,-9999,30.9090909090909
16,ASM,American Samoa,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,99.7,-9999,-9999,-9999,99.7
28,ATG,Antigua and Barbuda,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
36,AUS,Australia,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,100,-9999,-9999,100
40,AUT,Austria,72,-9999,-9999,-9999,-9999,75,-9999,-9999,81,-9999,85,86,86,89,89,-9999,92,-9999,93,-9999,-9999,94,-9999,-9999,89.25
31,AZE,Azerbaijan,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,30,30,-9999,-9999,31.2,31.4,-9999,20,-9999,-9999,28.7666666666667
108,BDI,Burundi,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0
56,BEL,Belgium,-9999,-9999,-9999,-9999,-9999,52.8,-9999,53.4,56.95,57.36,62.02349,65.88447,67.83912,69.50289,69.71051,70.39212,72.049,81.28283,82.77753,84.3984,-9999,-9999,-9999,-9999,72.586036
204,BEN,Benin,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.4,-9999,0.2
854,BFA,Burkina Faso,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.5,-9999,-9999,-9999,-9999,0,-9999,-9999,1.25
50,BGD,Bangladesh,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0
100,BGR,Bulgaria,-9999,-9999,-9999,-9999,-9999,36,36,36,36,36,37,38,39,40,40,41,41,42,44,45,-9999,43,-9999,-9999,40.9090909090909
48,BHR,Bahrain,58,-9999,-9999,-9999,-9999,64,65,66,69,71,74,75,77,79,83,86,87,88,-9999,-9999,-9999,75,-9999,-9999,80.4444444444444
44,BHS,Bahamas,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
70,BIH,Bosnia and Herzegovina,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.26470588235294,-9999,-9999,-9999,0,-9999,-9999,2.13235294117647
112,BLR,Belarus,-9999,-9999,-9999,-9999,-9999,-9999,94.1,90.2,91,92.9,90.1,90.1,94,92.8,90.8,98.3,96.1,94.9,-9999,-9999,-9999,10,-9999,-9999,84.1222222222222
84,BLZ,Belize,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.1
60,BMU,Bermuda,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,5,5,5,5,-9999,-9999,-9999,0,4.16666666666667
68,BOL,Bolivia,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11,-9999,-9999,20.5
76,BRA,Brazil,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20,-9999,-9999,-9999,-9999,-9999,26,-9999,-9999,-9999,-9999,20,-9999,-9999,22
52,BRB,Barbados,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
96,BRN,Brunei Darussalam,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,86,-9999,-9999,-9999,86
64,BTN,Bhutan,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0
72,BWA,Botswana,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,-9999,-9999,5
140,CAF,Central African Republic,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0
124,CAN,Canada,-9999,89.3,-9999,-9999,94.6,-9999,95.7,-9999,-9999,97.4,-9999,-9999,-9999,-9999,97.12,-9999,98.6,-9999,-9999,84.31,-9999,-9999,-9999,-9999,93.3433333333333
756,CHE,Switzerland,100,100,100,-9999,-9999,100,-9999,100,100,100,100,100,100,-9999,-9999,100,-9999,-9999,-9999,-9999,100,-9999,-9999,-9999,100
152,CHL,Chile,-9999,-9999,-9999,-9999,-9999,25,-9999,-9999,-9999,-9999,17,-9999,-9999,-9999,-9999,78.32,86.72,87.1,87.3,87.7,-9999,-9999,-9999,-9999,74.0233333333333
156,CHN,China,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.8,24.3,27.5,32.5,-9999,60.3169251517195,-9999,-9999,-9999,67.5166666666667,26,-9999,-9999,36.9905131169123
384,CIV,Cote d'Ivoire,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,5,-9999,5
120,CMR,Cameroon,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0
180,COD,Dem. Rep. Congo,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,0
178,COG,Congo,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,2
184,COK,Cook Islands,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
170,COL,Colombia,-9999,-9999,-9999,-9999,-9999,-9999,6.78127984718243,-9999,-9999,-9999,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,-9999,-9999,16.5
174,COM,Comoros,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
132,CPV,Cape Verde,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,100,-9999,-9999,-9999,-9999,-9999,100
188,CRI,Costa Rica,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4,-9999,-9999,-9999,-9999,-9999,-9999,3.5,-9999,-9999,-9999,15,-9999,-9999,7.5
192,CUB,Cuba,23.1,-9999,-9999,-9999,-9999,23.2,23.3,23.4,23.4,23.4,19,24,24,24,24,24,24,24,24,24,-9999,15,-9999,-9999,22.7272727272727
136,CYM,Cayman Islands,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
196,CYP,Cyprus,-9999,-9999,-9999,-9999,-9999,8,11,12,13,13,14,16,18,23,28,30,-9999,100,-9999,-9999,-9999,50,-9999,-9999,34.875
203,CZE,Czech Republic,79.1,79.7,79.7,80.2,84.1,85.2,87.1,88.1,89.6,90.2,91.6,92.6,94.5,95.4,95.6,96.28,94.6131,94.6251,94.4325,94.7157,94.6693,94.7825,-9999,-9999,94.48485
276,DEU,Germany,-9999,95.4329,-9999,-9999,-9999,96.4409,-9999,-9999,97.3341,-9999,-9999,98.3,-9999,-9999,98.6,-9999,-9999,98.91,-9999,-9999,99.13,-9999,-9999,-9999,98.735
262,DJI,Djibouti,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0
212,DMA,Dominica,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13
208,DNK,Denmark,99.3,99.3,99.1,99.3,99.5,99.7,99.97,99.96,99.98,100,100,100,100,-9999,-9999,-9999,-9999,-9999,-9999,100,100,-9999,-9999,-9999,100
214,DOM,Dominican Republic,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,49,-9999,-9999,-9999,-9999,12,-9999,-9999,-9999,-9999,-9999,10,-9999,-9999,23.6666666666667
12,DZA,Algeria,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,30,32,32,39,39,45,48,53,-9999,58.33333333,55,-9999,-9999,41.9393939390909
218,ECU,Ecuador,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10,-9999,-9999,-9999,-9999,0,-9999,-9999,5
818,EGY,Egypt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,49.89919355,-9999,70,-9999,-9999,59.949596775
232,ERI,Eritrea,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0
732,ESH,Western Sahara,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
724,ESP,Spain,-9999,-9999,86.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,88,-9999,89,-9999,-9999,-9999,95,-9999,96,-9999,98,-9999,-9999,-9999,93.2
233,EST,Estonia,91,-9999,-9999,-9999,-9999,95,-9999,-9999,-9999,-9999,99,99,99,99,100,100,100,100,100,100,-9999,100,-9999,-9999,99.6363636363636
231,ETH,Ethiopia,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,0
246,FIN,Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,100,100,-9999,-9999,100
242,FJI,Fiji,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10,-9999,-9999,10
238,FLK,Falkland Islands,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
250,FRA,France,-9999,-9999,-9999,-9999,-9999,98,-9999,-9999,97.78,-9999,-9999,97.94,-9999,-9999,97.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,97.82
234,FRO,Faeroe Islands,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
583,FSM,Micronesia,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
266,GAB,Gabon,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0
826,GBR,United Kingdom,92,83,90,88,89,88,91,90,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,99.57,99.57,99.57,-9999,-9999,-9999,99.57
268,GEO,Georgia,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0
288,GHA,Ghana,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,80,-9999,-9999,-9999,-9999,33.87096774,-9999,0,37.9569892466667
292,GIB,Gibraltar,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
324,GIN,Guinea,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10,10,10,11,11,-9999,0,-9999,-9999,8.66666666666667
312,GLP,Guadeloupe,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,40.1,-9999,-9999,38.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39.5
270,GMB,Gambia,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,-9999,-9999,5
624,GNB,Guinea-Bissau,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0
226,GNQ,Equatorial Guinea,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,-9999,-9999,5
300,GRC,Greece,-9999,-9999,60.8,-9999,-9999,-9999,-9999,88.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,100,-9999,100,100,100,-9999,-9999,100
308,GRD,Grenada,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
304,GRL,Greenland,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
320,GTM,Guatemala,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20,-9999,-9999,14.5
254,GUF,French Guiana,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,27.8,-9999,-9999,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,35.9
316,GUM,Guam,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
328,GUY,Guyana,0,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,-9999,10,-9999,0,0.833333333333333
344,HKG,Hong Kong,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,91.3,92.7,94.8,94.2,94.6,92.3,92.9,93.2,93.2,93.3,93.2,-9999,95,-9999,-9999,93.5818181818182
340,HND,Honduras,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26,5,-9999,-9999,15.5
191,HRV,Croatia,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.8,-9999,-9999,-9999,14.6,28.2,28.4,28.1,27.3,-9999,-9999,40,-9999,-9999,25.0571428571429
332,HTI,Haiti,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0,0
348,HUN,Hungary,77.5,-9999,81.3,77.6,77.4,76.3,76.9,77.5,77.9,79.5,95.0871,96.0288,95.9426,95.7857,95.9028,95.756,95.9162,96.6054,96.6851,96.7385,99.4266,99.6252,-9999,-9999,96.625
360,IDN,Indonesia,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,1
833,IMN,Isle of Man,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
356,IND,India,18.7122449,-9999,-9999,-9999,-9999,22.3818073,-9999,-9999,-9999,-9999,-9999,16.31,-9999,-9999,20,-9999,-9999,-9999,-9999,30.81246406,-9999,19,60,-9999,29.224492812
372,IRL,Ireland,78,78,-9999,80,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77,-9999,-9999,-9999,-9999,-9999,97.5,-9999,98.12,-9999,-9999,-9999,-9999,90.8733333333333
364,IRN,Iran,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.247251198,10,-9999,-9999,9.623625599
368,IRQ,Iraq,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.7,-9999,-9999,-9999,-9999,30.6511421,27,-9999,-9999,27.7837140333333
352,ISL,Iceland,12,12,12,12,14,14,14,14,18.4,26.4,43,43,61,61,61,68,-9999,-9999,67,-9999,-9999,-9999,-9999,-9999,57.7142857142857
376,ISR,Israel,88.2,-9999,-9999,-9999,-9999,88.3,-9999,-9999,-9999,-9999,92.3,93,93.9,94.7,95.6,95.9,96.2,96.5,96.8,97,97.4,97.8,-9999,-9999,95.5916666666667
380,ITA,Italy,61,-9999,-9999,-9999,-9999,63,-9999,-9999,-9999,69,-9999,-9999,-9999,-9999,-9999,-9999,-9999,99.3886907794193,-9999,-9999,-9999,94,-9999,-9999,96.6943453897096
388,JAM,Jamaica,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,40,10,-9999,-9999,25
400,JOR,Jordan,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.47457627118644,-9999,-9999,-9999,61,87.5,-9999,-9999,-9999,30,-9999,-9999,46.7436440677966
392,JPN,Japan,100,-9999,-9999,-9999,-9999,100,-9999,-9999,-9999,-9999,100,100,100,100,100,100,100,100,100,100,100,100,-9999,-9999,100
398,KAZ,Kazakhstan,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,50,-9999,-9999,50
404,KEN,Kenya,4.9,-9999,-9999,-9999,-9999,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,10,0,-9999,5,21,-9999,-9999,6.39090909090909
417,KGZ,Kyrgyzstan,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10,-9999,-9999,10
116,KHM,Cambodia,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0
296,KIR,Kiribati,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
659,KNA,Saint Kitts and Nevis,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
410,KOR,South Korea,100,-9999,-9999,-9999,-9999,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-9999,-9999,-9999,100
414,KWT,Kuwait,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,43,-9999,-9999,43
418,LAO,Laos,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0
422,LBN,Lebanon,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.36986301,-9999,-9999,-9999,-9999,-9999,26.36986301
430,LBR,Liberia,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0
